Var1,Var2_1,Var2_2,Var2_3,Var2_4
429,-13.8526021,-15.17594178,-9.645489749,-15.58291528
430,-13.84754627,-15.15921405,-9.585808353,-15.5484538
431,-13.84139932,-15.14214889,-9.526092058,-15.51452527
432,-13.83417815,-15.12475151,-9.466341404,-15.48112144
433,-13.82604788,-15.10702705,-9.406556923,-15.44823421
434,-13.81704825,-15.08901661,-9.346820018,-15.41585558
435,-13.8071927,-15.070804,-9.287167283,-15.38223169
436,-13.79649447,-15.05239235,-9.227597417,-15.34912781
437,-13.78496659,-15.03378475,-9.168109139,-15.31653587
438,-13.77415948,-15.01498421,-9.108701185,-15.28444797
439,-13.76510972,-14.99599374,-9.049372315,-15.25285631
440,-13.75779012,-14.97681626,-8.990228788,-15.22175322
441,-13.75217395,-14.95750168,-8.931287892,-15.18895148
442,-13.74823484,-14.93805467,-8.872546491,-15.15665703
443,-13.7449278,-14.91847725,-8.814001502,-15.12486201
444,-13.74023676,-14.89877146,-8.755649886,-15.0935587
445,-13.73418312,-14.87893927,-8.697488654,-15.06273949
446,-13.72678796,-14.85898265,-8.639663528,-15.03239691
447,-13.71807202,-14.83893612,-8.58216931,-15.00252358
448,-13.70810172,-14.81882412,-8.525000883,-14.9653029
449,-13.69743304,-14.79864767,-8.468153209,-14.92865784
450,-13.68607678,-14.77840776,-8.411621327,-14.89257949
451,-13.67404356,-14.75810538,-8.355414663,-14.8570591
452,-13.66134387,-14.73774148,-8.299604509,-14.82208804
453,-13.64798801,-14.71734649,-8.244184732,-14.7876578
454,-13.6340876,-14.6970236,-8.189149295,-14.75376003
455,-13.61967316,-14.6767717,-8.134492255,-14.71404364
456,-13.60475266,-14.65658968,-8.080207759,-14.67494146
457,-13.58933392,-14.63647646,-8.026287634,-14.63644401
458,-13.57342464,-14.61643099,-7.972721017,-14.59854191
459,-13.55854503,-14.59645221,-7.919502443,-14.56122598
460,-13.54585249,-14.57662792,-7.866626529,-14.52448713
