time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
135,-2.032513814,-2.011733834,-1.753695696,-2.039032533,-1.983163864,-1.651463063,-1.710446647,-2.265888689,-2.354667367,-1.783337638,,,,,,,,,,
136,-2.033281081,-1.998959459,-1.778248649,-2.026864865,-1.996227027,-1.609491892,-1.722221622,-2.324416216,-2.337343243,-1.774872973,,,,,,,,,,
137,-2.034048348,-1.986185085,-1.802801602,-2.014697197,-1.998578679,-1.567520721,-1.733996597,-2.341250851,-2.320019119,-1.766606106,,,,,,,,,,
138,-2.034815616,-1.973410711,-1.827354555,-2.00252953,-1.961492492,-1.52554955,-1.745771572,-2.322907107,-2.302694995,-1.758339239,,,,,,,,,,
139,-2.035582883,-1.960636336,-1.851907508,-1.990361862,-1.924406306,-1.483578378,-1.757546547,-2.304563363,-2.285370871,-1.750072372,,,,,,,,,,
140,-2.03635015,-1.947861962,-1.87646046,-1.978491391,-1.88732012,-1.441607207,-1.769321522,-2.28621962,-2.268046747,-1.741805506,,,,,,,,,,
141,-2.037117417,-1.935087588,-1.901013413,-2.000501401,-1.850233934,-1.399636036,-1.781096496,-2.267875876,-2.250722623,-1.733538639,,,,,,,,,,
142,-2.037884685,-1.915871772,-1.925566366,-2.022511411,-1.813147748,-1.414971171,-1.791887087,-2.249532132,-2.233398498,-1.725271772,,,,,,,,,,
143,-2.038651952,-1.890604905,-1.910133934,-2.044521421,-1.776061562,-1.445587988,-1.801752953,-2.231188388,-2.216074374,-1.717004905,,,,,,,,,,
144,-2.043887688,-1.865338038,-1.871426426,-2.066531431,-1.738975375,-1.476204805,-1.811618819,-2.212844645,-2.20451001,-1.724356256,,,,,,,,,,
145,-2.060294595,-1.840071171,-1.832718919,-2.088541441,-1.701889189,-1.506821622,-1.821484685,-2.195778378,-2.207345045,-1.770753153,,,,,,,,,,
146,-2.076701502,-1.814804304,-1.794011411,-2.110551451,-1.664803003,-1.537438438,-1.831350551,-2.194183784,-2.21018008,-1.81715005,,,,,,,,,,
147,-2.093108408,-1.789537437,-1.755303904,-2.132561461,-1.673862362,-1.568055255,-1.841216416,-2.192589189,-2.213015115,-1.863546947,,,,,,,,,,
148,-2.109515315,-1.764270571,-1.716596396,-2.154571471,-1.726455255,-1.598672072,-1.851082282,-2.190994595,-2.21585015,-1.909943844,,,,,,,,,,
149,-2.125922222,-1.739003704,-1.677888889,-2.151692593,-1.779048148,-1.629288889,-1.860948148,-2.1894,-2.218685185,-1.956340741,,,,,,,,,,
150,-2.142329129,-1.7727001,-1.639181381,-2.096345245,-1.831641041,-1.659843243,-1.866350551,-2.187805405,-2.22152022,-2.002737638,,,,,,,,,,
151,-2.158736036,-1.830370571,-1.600473874,-2.040997898,-1.884233934,-1.688086486,-1.869938138,-2.186210811,-2.224355255,-2.049134535,,,,,,,,,,
152,-2.175142943,-1.888041041,-1.572592392,-1.985650551,-1.936826827,-1.71632973,-1.873525726,-2.184616216,-2.22719029,-2.095531431,,,,,,,,,,
153,-2.19154985,-1.945711512,-1.586046647,-1.930303203,-1.98941972,-1.744572973,-1.877113313,-2.183021622,-2.230025325,-2.106648048,,,,,,,,,,
154,-2.174689189,-2.003381982,-1.599500901,-1.874955856,-2.042012613,-1.772816216,-1.880700901,-2.195675676,-2.234133333,-2.113437838,,,,,,,,,,
155,-2.147971471,-2.061052452,-1.612955155,-1.819608509,-2.094605506,-1.801059459,-1.884288488,-2.217433033,-2.25082963,-2.120227628,,,,,,,,,,
156,-2.121253754,-2.118722923,-1.626409409,-1.764261161,-2.147198398,-1.829302703,-1.887876076,-2.23919039,-2.267525926,-2.127017417,,,,,,,,,,
157,-2.094536036,-2.176393393,-1.639863664,-1.708913814,-2.127218318,-1.857545946,-1.891463664,-2.260947748,-2.284222222,-2.133807207,,,,,,,,,,
158,-2.067818318,-2.170304505,-1.653317918,-1.704754154,-2.090822923,-1.885789189,-1.903272272,-2.282705105,-2.300918519,-2.140596997,,,,,,,,,,
159,-2.041100601,-2.15761982,-1.666772172,-1.730044945,-2.054427528,-1.900452853,-1.915931331,-2.304462462,-2.317614815,-2.147386787,,,,,,,,,,
160,-2.014382883,-2.144935135,-1.680226426,-1.755335736,-2.018032132,-1.877093694,-1.92859039,-2.32621982,-2.334311111,-2.154176577,,,,,,,,,,
161,-1.987665165,-2.13225045,-1.693680681,-1.780626527,-1.981636737,-1.853734535,-1.941249449,-2.347977177,-2.351007407,-2.145138539,,,,,,,,,,
