Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
171,9.16091003,5.508860925,6.00832615,6.137332725,4.828239183,6.794389013,4.094163027,4.621451211,5.106047039,3.766616985
172,9.180324324,5.548613189,6.044405622,6.174205694,4.862218378,6.831287351,4.123507892,4.674147748,5.142645622,3.811405838
173,9.199829013,5.588365453,6.080485093,6.211078663,4.896197574,6.867480985,4.152852757,4.726844284,5.179244204,3.856194691
174,9.219490531,5.628002402,6.116564565,6.247951632,4.930176769,6.903674619,4.182197622,4.779540821,5.21660233,3.900983544
175,9.239152048,5.667515387,6.152686318,6.284824601,4.964155964,6.939868252,4.211542486,4.832237357,5.255109766,3.945772396
176,9.258813566,5.707028372,6.188927872,6.321273337,4.998099027,6.976061886,4.242425465,4.886180196,5.293617201,3.991717477
177,9.278475083,5.746541357,6.225169425,6.357130122,5.032036324,7.012149237,4.273656697,4.940805317,5.332124637,4.037847063
178,9.298375111,5.785717045,6.261410979,6.392986907,5.065973622,7.045670631,4.304887928,4.995430438,5.370632072,4.083976649
179,9.318283852,5.824512192,6.297723387,6.428843692,5.099910919,7.079192024,4.336119159,5.05005556,5.409414214,4.130106234
180,9.338192593,5.863307339,6.334191856,6.464700476,5.133906835,7.112713417,4.36735039,5.104680681,5.449561305,4.17649765
181,9.358101333,5.902102486,6.370660324,6.500092541,5.168053622,7.146234811,4.39980973,5.160713802,5.489708396,4.223562955
182,9.378231479,5.940481345,6.407128793,6.535131099,5.202200408,7.179756204,4.432814895,5.216846478,5.529855487,4.27062826
183,9.398532869,5.978367231,6.443738715,6.570169658,5.236347195,7.212338675,4.46582006,5.272979155,5.570002579,4.317693566
184,9.418834258,6.016253117,6.48059618,6.605208216,5.270493982,7.24327803,4.498825225,5.329111832,5.61014967,4.364758871
185,9.439135648,6.054139003,6.517453646,6.640246775,5.304952376,7.274217385,4.53183039,5.385434202,5.651535247,4.412087095
186,9.459529481,6.091669333,6.554311111,6.67487763,5.339546074,7.305156741,4.565781333,5.442422519,5.693003852,4.459529481
187,9.48039803,6.128757622,6.591336745,6.709348709,5.374139772,7.336096096,4.600448,5.499410835,5.734472456,4.506971868
188,9.501266579,6.16584591,6.628599415,6.743819788,5.408733469,7.367035451,4.635114667,5.556399151,5.775941061,4.554414254
189,9.522135127,6.202934198,6.665862086,6.778290867,5.443391231,7.396416705,4.669781333,5.613387467,5.817409666,4.601871055
190,9.543003676,6.239766486,6.703124757,6.812761946,5.478543568,7.42508973,4.704448,5.670396541,5.859570162,4.649439135
191,9.564415295,6.276264553,6.740478142,6.846923403,5.513695904,7.453762755,4.739822511,5.727425602,5.902017666,4.697007215
192,9.585996428,6.312762619,6.777935311,6.881038158,5.54884824,7.48243578,4.776075724,5.784454663,5.944465169,4.744575295
193,9.607577562,6.349260685,6.81539248,6.915152913,5.584000577,7.511108805,4.812328937,5.841483724,5.986912673,4.792143375
194,9.629158695,6.385489682,6.85284965,6.949267668,5.61945017,7.539761457,4.84858215,5.898512785,6.029360176,4.839763475
195,9.651007744,6.42134967,6.890055047,6.98337781,5.655161145,7.566641714,4.884835363,5.954903063,6.072058362,4.887429317
196,9.673330547,6.457209658,6.92702597,7.017255015,5.69087212,7.59352197,4.921625369,6.011130811,6.115032024,4.935095159
197,9.695653349,6.493069646,6.963996893,7.05113222,5.726583095,7.620402226,4.959540084,6.067358559,6.158005686,4.982761001
198,9.717976152,6.528642114,7.000967816,7.085009425,5.76229407,7.647282482,4.997454799,6.123586306,6.200979347,5.030426843
199,9.740298955,6.563800216,7.037237622,7.118886631,5.798402883,7.674162739,5.035369514,6.179680288,6.243953009,5.078371171
200,9.763278158,6.598958318,7.072976721,7.152725718,5.834532837,7.700634779,5.073284228,6.234332573,6.286926671,5.126330298
201,9.78628446,6.63411642,7.10871582,7.186378571,5.870662791,7.726297305,5.111591207,6.288984857,6.329900332,5.174289425
202,9.809290763,6.668944721,7.144454919,7.220031423,5.906792745,7.751959832,5.151467243,6.343637141,6.372873994,5.222248553
203,9.832297065,6.703273321,7.179037341,7.253684276,5.942989325,7.777622358,5.191343279,6.398289425,6.415847656,5.270392184
204,9.855612541,6.737601922,7.212912496,7.287337129,5.979300837,7.803284885,5.231219315,6.452116757,6.458821317,5.318854086
205,9.879171459,6.771930523,7.246787652,7.32092233,6.015612348,7.828947411,5.271095351,6.504555243,6.501785562,5.367315988
